Title,Description,Thumbnail,Channel,Video ID,Published At,Course ID,Course Name,Course Published at
Curso Spring Boot #1 – Introducción a Spring Framework y Spring Boot,"¡Bienvenido al Curso de programación con Spring Boot!, un curso donde tendrás tu primer acercamiento a la creación de API´s y microservicios.",https://i.ytimg.com/vi/BRtPNl0aBkA/maxresdefault.jpg,La Geekipedia De Ernesto,BRtPNl0aBkA,2024-02-29T15:56:48Z,PLyvsggKtwbLVOPuOGn9J1Ie9RD7r7LcWD,Curso Spring Boot : Desarrollo de Microservicios,2024-02-29T15:56:42Z
Curso Spring Boot #2 – Instalación de JDK – IntelliJ IDEA - Postman,¡Bienvenido a la segunda parte del Curso de programación con Spring Boot!,https://i.ytimg.com/vi/xb_y3MMtWsQ/maxresdefault.jpg,La Geekipedia De Ernesto,xb_y3MMtWsQ,2024-03-04T21:42:14Z,PLyvsggKtwbLVOPuOGn9J1Ie9RD7r7LcWD,Curso Spring Boot : Desarrollo de Microservicios,2024-02-29T15:56:42Z
Curso Spring Boot #3 – Creación y Estructura de un Proyecto (spring initializr),¡Bienvenido a la tercera parte del Curso de programación con Spring Boot!,https://i.ytimg.com/vi/YbvZe1wDQqQ/maxresdefault.jpg,La Geekipedia De Ernesto,YbvZe1wDQqQ,2024-03-04T22:00:32Z,PLyvsggKtwbLVOPuOGn9J1Ie9RD7r7LcWD,Curso Spring Boot : Desarrollo de Microservicios,2024-02-29T15:56:42Z
Curso Spring Boot #4 – Las anotaciones @RestController y @GetMapping,¡Bienvenido a la cuarta parte del Curso de programación con Spring Boot!,https://i.ytimg.com/vi/3mEVNxcBOaA/maxresdefault.jpg,La Geekipedia De Ernesto,3mEVNxcBOaA,2024-03-04T22:29:21Z,PLyvsggKtwbLVOPuOGn9J1Ie9RD7r7LcWD,Curso Spring Boot : Desarrollo de Microservicios,2024-02-29T15:56:42Z
Curso Spring Boot #5 – La anotación @PathVariable,¡Bienvenido a la quinta parte del Curso de programación con Spring Boot!,https://i.ytimg.com/vi/319Vm8BHCJk/maxresdefault.jpg,La Geekipedia De Ernesto,319Vm8BHCJk,2024-03-04T23:34:36Z,PLyvsggKtwbLVOPuOGn9J1Ie9RD7r7LcWD,Curso Spring Boot : Desarrollo de Microservicios,2024-02-29T15:56:42Z
Curso Spring Boot #6 – Desarrollo de una aplicación para verificar palíndromos (Practica propuesta),¡Bienvenido a la sexta parte del Curso de programación con Spring Boot!,https://i.ytimg.com/vi/_K5X4DfOAVE/maxresdefault.jpg,La Geekipedia De Ernesto,_K5X4DfOAVE,2024-03-05T00:24:57Z,PLyvsggKtwbLVOPuOGn9J1Ie9RD7r7LcWD,Curso Spring Boot : Desarrollo de Microservicios,2024-02-29T15:56:42Z
Curso Spring Boot #7 – ¿Qué son los Microservicios?,¡Bienvenido a la séptima parte del Curso de programación con Spring Boot!,https://i.ytimg.com/vi/16hTP5we0_o/maxresdefault.jpg,La Geekipedia De Ernesto,16hTP5we0_o,2024-03-15T04:03:59Z,PLyvsggKtwbLVOPuOGn9J1Ie9RD7r7LcWD,Curso Spring Boot : Desarrollo de Microservicios,2024-02-29T15:56:42Z
Curso Spring Boot #8 – Arquitectura Basada en Capas,¡Bienvenido a la octava parte del Curso de programación con Spring Boot!,https://i.ytimg.com/vi/vDN0gThf_oQ/maxresdefault.jpg,La Geekipedia De Ernesto,vDN0gThf_oQ,2024-03-15T04:21:25Z,PLyvsggKtwbLVOPuOGn9J1Ie9RD7r7LcWD,Curso Spring Boot : Desarrollo de Microservicios,2024-02-29T15:56:42Z
Curso Spring Boot #9 – ¿Qué es una API? y qué diferencia a una API REST,¡Bienvenido a la novena parte del Curso de programación con Spring Boot!,https://i.ytimg.com/vi/kcd61eB_SKA/maxresdefault.jpg,La Geekipedia De Ernesto,kcd61eB_SKA,2024-03-21T23:28:06Z,PLyvsggKtwbLVOPuOGn9J1Ie9RD7r7LcWD,Curso Spring Boot : Desarrollo de Microservicios,2024-02-29T15:56:42Z
Curso Spring Boot #10 – Implementación de una API REST,¡Bienvenido a la décima parte del Curso de programación con Spring Boot!,https://i.ytimg.com/vi/EC8RKM80kq0/maxresdefault.jpg,La Geekipedia De Ernesto,EC8RKM80kq0,2024-03-22T08:29:10Z,PLyvsggKtwbLVOPuOGn9J1Ie9RD7r7LcWD,Curso Spring Boot : Desarrollo de Microservicios,2024-02-29T15:56:42Z
Curso Spring Boot #11 – Enrutamiento de URL en Spring Boot,¡Bienvenido a la décima primera parte del Curso de programación con Spring Boot!,https://i.ytimg.com/vi/54EOU85_f1U/maxresdefault.jpg,La Geekipedia De Ernesto,54EOU85_f1U,2024-03-27T03:53:41Z,PLyvsggKtwbLVOPuOGn9J1Ie9RD7r7LcWD,Curso Spring Boot : Desarrollo de Microservicios,2024-02-29T15:56:42Z
Curso Spring Boot #12 – Las Anotaciones @PostMapping y @RequestBody,¡Bienvenido a la décima segunda parte del Curso de programación con Spring Boot!,https://i.ytimg.com/vi/QWwLzhHSfdg/maxresdefault.jpg,La Geekipedia De Ernesto,QWwLzhHSfdg,2024-06-07T21:24:43Z,PLyvsggKtwbLVOPuOGn9J1Ie9RD7r7LcWD,Curso Spring Boot : Desarrollo de Microservicios,2024-02-29T15:56:42Z
Curso Spring Boot #13 – La Anotación @PutMapping (Modificación de Recursos),¡Bienvenido a la décima tercera parte del Curso de programación con Spring Boot!,https://i.ytimg.com/vi/22kKypD1OAE/maxresdefault.jpg,La Geekipedia De Ernesto,22kKypD1OAE,2024-06-07T21:38:40Z,PLyvsggKtwbLVOPuOGn9J1Ie9RD7r7LcWD,Curso Spring Boot : Desarrollo de Microservicios,2024-02-29T15:56:42Z
Curso Spring Boot #14 – La Anotación @DeleteMapping (Eliminación de Recursos),¡Bienvenido a la décima cuarta parte del Curso de programación con Spring Boot!,https://i.ytimg.com/vi/ypWmw79D6lg/maxresdefault.jpg,La Geekipedia De Ernesto,ypWmw79D6lg,2024-06-07T21:57:44Z,PLyvsggKtwbLVOPuOGn9J1Ie9RD7r7LcWD,Curso Spring Boot : Desarrollo de Microservicios,2024-02-29T15:56:42Z
